No.,Time,Source,Destination,Protocol,Length,Info,label
1,0.0,204.79.197.222,FioImma.local,TCP,60,443  >  54796 [ACK] Seq=1 Ack=1 Win=2048 Len=0,TCP Traffic
2,0.001887,204.79.197.222,FioImma.local,TLSv1.2,513,Application Data,Other
3,0.001887,204.79.197.222,FioImma.local,TLSv1.2,116,Application Data,Other
4,0.001887,204.79.197.222,FioImma.local,TCP,60,443  >  54796 [ACK] Seq=522 Ack=81 Win=2048 Len=0,TCP Traffic
5,0.001887,204.79.197.222,FioImma.local,TLSv1.2,85,Application Data,Other
6,0.001993,FioImma.local,204.79.197.222,TCP,54,54796  >  443 [ACK] Seq=936 Ack=553 Win=1021 Len=0,TCP Traffic
7,0.003792,FioImma.local,204.79.197.222,TLSv1.2,85,Application Data,Other
8,0.04268,204.79.197.222,FioImma.local,TCP,60,443  >  54796 [ACK] Seq=553 Ack=967 Win=2048 Len=0,TCP Traffic
9,0.14063,204.79.197.222,FioImma.local,TLSv1.2,240,Application Data,Other
10,0.14063,204.79.197.222,FioImma.local,TLSv1.2,85,Application Data,Other
11,0.140711,FioImma.local,204.79.197.222,TCP,54,54796  >  443 [ACK] Seq=967 Ack=770 Win=1020 Len=0,TCP Traffic
12,0.239727,FioImma.local,browser-intake-datadoghq.com,TCP,55,54759  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1,TCP Traffic
13,0.465458,browser-intake-datadoghq.com,FioImma.local,TCP,66,443  >  54759 [ACK] Seq=1 Ack=2 Win=62 Len=0 SLE=1 SRE=2,TCP Traffic
14,0.72037,FioImma.local,mars.octa.edu,DNS,98,Standard query 0xb437 PTR 222.197.79.204.in-addr.arpa OPT,Other
15,0.721234,FioImma.local,mars.octa.edu,DNS,96,Standard query 0x03c8 PTR 40.1.168.192.in-addr.arpa OPT,Other
16,0.721731,FioImma.local,mars.octa.edu,DNS,96,Standard query 0xc288 PTR 26.158.233.3.in-addr.arpa OPT,Other
17,0.73671,mars.octa.edu,FioImma.local,DNS,96,Standard query response 0x03c8 No such name PTR 40.1.168.192.in-addr.arpa OPT,Other
18,0.73671,mars.octa.edu,FioImma.local,DNS,168,Standard query response 0xb437 No such name PTR 222.197.79.204.in-addr.arpa SOA ns1.msedge.net OPT,Other
19,0.755094,mars.octa.edu,FioImma.local,DNS,150,Standard query response 0xc288 PTR 26.158.233.3.in-addr.arpa PTR ec2-3-233-158-26.compute-1.amazonaws.com OPT,Other
20,1.734154,FioImma.local,mars.octa.edu,DNS,93,Standard query 0x649b PTR 41.0.0.10.in-addr.arpa OPT,Other
21,1.740796,mars.octa.edu,FioImma.local,DNS,120,Standard query response 0x649b PTR 41.0.0.10.in-addr.arpa PTR mars.octa.edu OPT,Other
22,3.915724,FioImma.local,mars.octa.edu,DNS,90,Standard query 0x06e2 A self.events.data.microsoft.com,Other
23,3.923278,mars.octa.edu,FioImma.local,DNS,213,Standard query response 0x06e2 A self.events.data.microsoft.com CNAME self-events-data.trafficmanager.net CNAME onedscolprdneu09.northeurope.cloudapp.azure.com A 13.69.239.77,Other
24,3.924582,FioImma.local,onedscolprdneu09.northeurope.cloudapp.azure.com,TCP,66,54797  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,TCP Traffic
25,4.089561,onedscolprdneu09.northeurope.cloudapp.azure.com,FioImma.local,TCP,66,"443  >  54797 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM",TCP Traffic
26,4.08973,FioImma.local,onedscolprdneu09.northeurope.cloudapp.azure.com,TCP,54,54797  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0,TCP Traffic
27,4.09286,FioImma.local,onedscolprdneu09.northeurope.cloudapp.azure.com,TLSv1.3,445,Client Hello (SNI=self.events.data.microsoft.com),Other
28,4.259201,onedscolprdneu09.northeurope.cloudapp.azure.com,FioImma.local,TLSv1.3,153,"Hello Retry Request, Change Cipher Spec",Other
29,4.259366,FioImma.local,onedscolprdneu09.northeurope.cloudapp.azure.com,TCP,54,54797  >  443 [ACK] Seq=392 Ack=100 Win=261888 Len=0,TCP Traffic
30,4.284396,FioImma.local,onedscolprdneu09.northeurope.cloudapp.azure.com,TLSv1.3,516,"Change Cipher Spec, Client Hello (SNI=self.events.data.microsoft.com)",Other
31,4.460794,onedscolprdneu09.northeurope.cloudapp.azure.com,FioImma.local,TLSv1.3,1514,Server Hello,Other
32,4.460952,FioImma.local,onedscolprdneu09.northeurope.cloudapp.azure.com,TCP,54,54797  >  443 [ACK] Seq=854 Ack=1560 Win=262144 Len=0,TCP Traffic
33,4.462666,onedscolprdneu09.northeurope.cloudapp.azure.com,FioImma.local,TCP,4434,443  >  54797 [ACK] Seq=1560 Ack=854 Win=524288 Len=4380 [TCP PDU reassembled in 34],TCP Traffic
34,4.462666,onedscolprdneu09.northeurope.cloudapp.azure.com,FioImma.local,TLSv1.3,600,Application Data,Other
35,4.462816,FioImma.local,onedscolprdneu09.northeurope.cloudapp.azure.com,TCP,54,54797  >  443 [ACK] Seq=854 Ack=6486 Win=262144 Len=0,TCP Traffic
36,4.475078,FioImma.local,onedscolprdneu09.northeurope.cloudapp.azure.com,TLSv1.3,128,Application Data,Other
37,4.475461,FioImma.local,onedscolprdneu09.northeurope.cloudapp.azure.com,TLSv1.3,1083,Application Data,Other
38,4.495702,FioImma.local,102.221.186.35.bc.googleusercontent.com,TCP,55,54633  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP PDU reassembled in 502],TCP Traffic
39,4.507488,102.221.186.35.bc.googleusercontent.com,FioImma.local,TCP,66,443  >  54633 [ACK] Seq=1 Ack=2 Win=345 Len=0 SLE=1 SRE=2,TCP Traffic
40,4.642298,onedscolprdneu09.northeurope.cloudapp.azure.com,FioImma.local,TCP,60,443  >  54797 [ACK] Seq=6486 Ack=1957 Win=524288 Len=0,TCP Traffic
41,4.65311,onedscolprdneu09.northeurope.cloudapp.azure.com,FioImma.local,TLSv1.3,157,Application Data,Other
42,4.653212,FioImma.local,onedscolprdneu09.northeurope.cloudapp.azure.com,TCP,54,54797  >  443 [ACK] Seq=1957 Ack=6589 Win=261888 Len=0,TCP Traffic
43,4.655417,FioImma.local,onedscolprdneu09.northeurope.cloudapp.azure.com,TCP,54,"54797  >  443 [FIN, ACK] Seq=1957 Ack=6589 Win=261888 Len=0",TCP Traffic
44,4.991236,onedscolprdneu09.northeurope.cloudapp.azure.com,FioImma.local,TCP,54,443  >  54797 [ACK] Seq=6589 Ack=1958 Win=524288 Len=0,TCP Traffic
45,5.018179,FioImma.local,gce-beacons.gcp.gvt2.com,TCP,55,54769  >  443 [ACK] Seq=1 Ack=1 Win=510 Len=1 [TCP PDU reassembled in 499],TCP Traffic
46,5.100235,gce-beacons.gcp.gvt2.com,FioImma.local,TCP,66,443  >  54769 [ACK] Seq=1 Ack=2 Win=249 Len=0 SLE=1 SRE=2,TCP Traffic
47,5.139425,onedscolprdneu09.northeurope.cloudapp.azure.com,FioImma.local,TLSv1.3,201,Application Data,Other
48,5.139425,onedscolprdneu09.northeurope.cloudapp.azure.com,FioImma.local,TCP,54,"443  >  54797 [FIN, ACK] Seq=6736 Ack=1958 Win=524288 Len=0",TCP Traffic
49,5.139551,FioImma.local,onedscolprdneu09.northeurope.cloudapp.azure.com,TCP,54,"54797  >  443 [RST, ACK] Seq=1958 Ack=6736 Win=0 Len=0",TCP Traffic
50,5.286889,FioImma.local,mars.octa.edu,DNS,88,Standard query 0xcb02 A browser-intake-datadoghq.com,Other
51,5.287236,FioImma.local,mars.octa.edu,DNS,88,Standard query 0x4b59 HTTPS browser-intake-datadoghq.com,Other
52,5.293202,mars.octa.edu,FioImma.local,DNS,136,Standard query response 0xcb02 A browser-intake-datadoghq.com A 3.233.158.24 A 3.233.158.25 A 3.233.158.26,Other
53,5.295732,mars.octa.edu,FioImma.local,DNS,172,Standard query response 0x4b59 HTTPS browser-intake-datadoghq.com SOA ns-1907.awsdns-46.co.uk,Other
54,5.296409,FioImma.local,www.google.com,TCP,54,"54782  >  443 [FIN, ACK] Seq=1 Ack=1 Win=512 Len=0",TCP Traffic
55,5.296876,FioImma.local,browser-intake-datadoghq.com,TCP,66,54798  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,TCP Traffic
56,5.306182,www.google.com,FioImma.local,TCP,54,443  >  54782 [RST] Seq=1 Win=0 Len=0,TCP Traffic
57,5.522439,browser-intake-datadoghq.com,FioImma.local,TCP,66,"443  >  54798 [SYN, ACK] Seq=0 Ack=1 Win=31740 Len=0 MSS=1380 SACK_PERM WS=512",TCP Traffic
58,5.52257,FioImma.local,browser-intake-datadoghq.com,TCP,54,54798  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0,TCP Traffic
59,5.525206,FioImma.local,browser-intake-datadoghq.com,TCP,1434,54798  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=1380 [TCP PDU reassembled in 60],TCP Traffic
60,5.525206,FioImma.local,browser-intake-datadoghq.com,TLSv1.3,747,Client Hello (SNI=browser-intake-datadoghq.com),Other
61,5.748153,browser-intake-datadoghq.com,FioImma.local,TCP,60,443  >  54798 [ACK] Seq=1 Ack=1381 Win=31232 Len=0,TCP Traffic
62,5.748153,browser-intake-datadoghq.com,FioImma.local,TCP,60,443  >  54798 [ACK] Seq=1 Ack=2074 Win=31744 Len=0,TCP Traffic
63,5.748153,browser-intake-datadoghq.com,FioImma.local,TLSv1.3,266,"Server Hello, Change Cipher Spec, Application Data",Other
64,5.749761,FioImma.local,mars.octa.edu,DNS,98,Standard query 0xf940 PTR 102.221.186.35.in-addr.arpa OPT,Other
65,5.750063,FioImma.local,browser-intake-datadoghq.com,TLSv1.3,118,"Change Cipher Spec, Application Data",Other
66,5.750106,FioImma.local,mars.octa.edu,DNS,98,Standard query 0x6e95 PTR 127.128.220.35.in-addr.arpa OPT,Other
67,5.750372,FioImma.local,mars.octa.edu,DNS,99,Standard query 0xf451 PTR 228.205.250.142.in-addr.arpa OPT,Other
68,5.750422,FioImma.local,browser-intake-datadoghq.com,TLSv1.3,146,Application Data,Other
69,5.750802,FioImma.local,browser-intake-datadoghq.com,TLSv1.3,699,Application Data,Other
70,5.750885,FioImma.local,browser-intake-datadoghq.com,TLSv1.3,987,Application Data,Other
71,5.767076,mars.octa.edu,FioImma.local,DNS,137,Standard query response 0xf451 PTR 228.205.250.142.in-addr.arpa PTR maa05s28-in-f4.1e100.net OPT,Other
72,5.779998,FioImma.local,maa03s28-in-f3.1e100.net,TCP,55,54772  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1,TCP Traffic
73,5.783526,mars.octa.edu,FioImma.local,DNS,151,Standard query response 0xf940 PTR 102.221.186.35.in-addr.arpa PTR 102.221.186.35.bc.googleusercontent.com OPT,Other
74,5.787823,mars.octa.edu,FioImma.local,DNS,151,Standard query response 0x6e95 PTR 127.128.220.35.in-addr.arpa PTR 127.128.220.35.bc.googleusercontent.com OPT,Other
75,5.79079,maa03s28-in-f3.1e100.net,FioImma.local,TCP,66,443  >  54772 [ACK] Seq=1 Ack=2 Win=301 Len=0 SLE=1 SRE=2,TCP Traffic
76,5.974592,browser-intake-datadoghq.com,FioImma.local,TCP,60,443  >  54798 [ACK] Seq=213 Ack=2230 Win=31744 Len=0,TCP Traffic
77,5.974592,browser-intake-datadoghq.com,FioImma.local,TLSv1.3,581,"Application Data, Application Data",Other
78,5.974592,browser-intake-datadoghq.com,FioImma.local,TCP,60,443  >  54798 [ACK] Seq=740 Ack=3808 Win=31744 Len=0,TCP Traffic
79,5.97516,FioImma.local,browser-intake-datadoghq.com,TLSv1.3,85,Application Data,Other
80,6.022645,browser-intake-datadoghq.com,FioImma.local,TLSv1.3,363,Application Data,Other
81,6.066112,FioImma.local,browser-intake-datadoghq.com,TCP,54,54798  >  443 [ACK] Seq=3839 Ack=1049 Win=130048 Len=0,TCP Traffic
82,6.243757,browser-intake-datadoghq.com,FioImma.local,TCP,60,443  >  54798 [ACK] Seq=1049 Ack=3839 Win=31744 Len=0,TCP Traffic
83,6.257781,FioImma.local,ec2-35-174-127-31.compute-1.amazonaws.com,TLSv1.2,297,Application Data,Other
84,6.492246,ec2-35-174-127-31.compute-1.amazonaws.com,FioImma.local,TLSv1.2,320,Application Data,Other
85,6.542869,FioImma.local,ec2-35-174-127-31.compute-1.amazonaws.com,TCP,54,54503  >  443 [ACK] Seq=244 Ack=267 Win=513 Len=0,TCP Traffic
86,6.750986,FioImma.local,mars.octa.edu,DNS,98,Standard query 0xad78 PTR 195.31.217.172.in-addr.arpa OPT,Other
87,6.751341,FioImma.local,mars.octa.edu,DNS,97,Standard query 0x3df8 PTR 31.127.174.35.in-addr.arpa OPT,Other
88,6.769241,mars.octa.edu,FioImma.local,DNS,136,Standard query response 0xad78 PTR 195.31.217.172.in-addr.arpa PTR maa03s28-in-f3.1e100.net OPT,Other
89,6.78787,mars.octa.edu,FioImma.local,DNS,152,Standard query response 0x3df8 PTR 31.127.174.35.in-addr.arpa PTR ec2-35-174-127-31.compute-1.amazonaws.com OPT,Other
90,6.98366,FioImma.local,mars.octa.edu,DNS,90,Standard query 0x3441 A self.events.data.microsoft.com,Other
91,6.992391,mars.octa.edu,FioImma.local,DNS,213,Standard query response 0x3441 A self.events.data.microsoft.com CNAME self-events-data.trafficmanager.net CNAME onedscolprdneu09.northeurope.cloudapp.azure.com A 13.69.239.77,Other
92,7.282719,FioImma.local,maa03s41-in-f14.1e100.net,TCP,1466,54642  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1412 [TCP PDU reassembled in 94],TCP Traffic
93,7.282719,FioImma.local,maa03s41-in-f14.1e100.net,TCP,1466,54642  >  443 [ACK] Seq=1413 Ack=1 Win=512 Len=1412 [TCP PDU reassembled in 94],TCP Traffic
94,7.282719,FioImma.local,maa03s41-in-f14.1e100.net,TLSv1.2,655,Application Data,Other
95,7.282871,FioImma.local,maa03s41-in-f14.1e100.net,TLSv1.2,93,Application Data,Other
96,7.29507,maa03s41-in-f14.1e100.net,FioImma.local,TCP,60,443  >  54642 [ACK] Seq=1 Ack=1413 Win=2048 Len=0,TCP Traffic
97,7.29507,maa03s41-in-f14.1e100.net,FioImma.local,TCP,60,443  >  54642 [ACK] Seq=1 Ack=2825 Win=2048 Len=0,TCP Traffic
